04/11/2019 20:18:39 [main] INFO  QA.Tests.Test1 - URL Success
04/11/2019 20:18:40 [main] INFO  QA.Tests.Test1 - Signin Button Click Successful
04/11/2019 20:18:41 [main] INFO  QA.Tests.Test1 - USERNAME Fetch Success
04/11/2019 20:18:41 [main] INFO  QA.Tests.Test1 - PASSWORD Fetch Success
04/11/2019 20:18:44 [main] INFO  QA.Tests.Test1 - Login Successful
04/11/2019 20:18:47 [main] INFO  QA.Tests.Test1 - Clicking on Woman Tab Successful
04/11/2019 20:18:49 [main] INFO  QA.Tests.Test1 - Clicking on Tops inside Woman Tab Successful
04/11/2019 20:18:51 [main] INFO  QA.Tests.Test1 - Clicking on Tshirts inside Woman Tab>>Tops Successful
04/11/2019 20:18:54 [main] INFO  QA.Tests.Test1 - Clicking on Product Successful
04/11/2019 20:19:04 [main] INFO  QA.Tests.Test1 - Product Added to Cart Successful
04/11/2019 20:19:04 [main] INFO  QA.Tests.Test1 - Product verification Successful
04/11/2019 20:19:09 [main] INFO  QA.Tests.Test2 - EHR PATIENT CREATION SUCCESS
04/11/2019 20:19:09 [main] ERROR QA.Tests.Test2 - PATIENT DEMOGRAPHIC UPDATE FAILED
04/11/2019 20:19:17 [main] INFO  QA.Tests.Test3 - Navigation to Google Successful
04/11/2019 20:19:20 [main] INFO  QA.Tests.Test3 - Google Search Successful
04/11/2019 20:19:22 [main] INFO  QA.Tests.Test3 - Clicking on 3rd Result from Google Search Successful
04/11/2019 20:19:22 [main] INFO  QA.Tests.Test3 - Title Verification of 3rd Result from Google Search Successful
04/11/2019 20:19:28 [main] INFO  QA.Tests.Test3 - Title Verification FAIL
04/11/2019 20:19:40 [main] INFO  QA.Tests.Test4 - SFDC LOGIN with INVALID ID/PASS
04/11/2019 20:19:41 [main] INFO  QA.Tests.Test4 - SFDC LOGIN with INVALID ID/PASS
04/11/2019 20:19:42 [main] INFO  QA.Tests.Test4 - SFDC LOGIN with INVALID ID/PASS
04/11/2019 20:19:43 [main] INFO  QA.Tests.Test4 - SFDC LOGIN with INVALID ID/PASS
04/11/2019 20:19:44 [main] INFO  QA.Tests.Test4 - SFDC LOGIN with INVALID ID/PASS
04/11/2019 20:21:21 [main] INFO  QA.Tests.Test7 - G99Login test passed
04/11/2019 20:21:35 [main] INFO  QA.Tests.Test7 - G99Login test passed
04/11/2019 20:21:49 [main] INFO  QA.Tests.Test7 - validation started....
04/11/2019 20:21:49 [main] INFO  QA.Tests.Test7 - test case passed....
04/11/2019 20:21:52 [main] INFO  QA.Tests.Test7 - G99Login test passed
04/11/2019 20:22:05 [main] INFO  QA.Tests.Test7 - validation started....
04/11/2019 20:22:05 [main] INFO  QA.Tests.Test7 - test case passed....
04/11/2019 20:22:17 [main] INFO  QA.Tests.Test7 - G99Login test passed
04/11/2019 20:22:31 [main] INFO  QA.Tests.Test7 - validation started....
04/11/2019 20:22:31 [main] INFO  QA.Tests.Test7 - test case passed....
04/11/2019 20:22:33 [main] INFO  QA.Tests.Test7 - G99Login test passed
04/11/2019 20:22:46 [main] INFO  QA.Tests.Test7 - validation started....
04/11/2019 20:22:46 [main] INFO  QA.Tests.Test7 - test case passed....
