TestCase,YN,Sprint,Re-execution Status
TC_LoginValidation&Search,N,Sprint 1,Completed
TC_AskAQuestion_1,N,Sprint 1,Completed
TC_AskAQuestion_2,N,Sprint 1,Completed
TC_CriticalAlert,N,Sprint 1,Completed
TC_UpdateDataPointValidation,N,Sprint 1,Completed
TC_PostAnswer_1,N,Sprint 1,Completed
TC_PostAnswer_2,N,Sprint 1,Completed
TC_PostAnswer_3,N,Sprint 1,Completed
TC_PostAnswer_4,N,Sprint 1,Completed
TC_BestAnswerAndCompanyVerified_1,N,Sprint 1,Completed
TC_BestAnswerAndCompanyVerified_2,N,Sprint 1,Completed
TC_HR_NewCase,N,Sprint 1,Completed
TC_SearchResults_Discussion,N,Sprint 1,Completed
TC_SearchResults_All,N,Sprint 1,Completed
TC_MyFeeds_Sort,N,Sprint 1,Completed
TC_IT_NewCase&Chat_1,N,Sprint 1/2,Completed
TC_IT_NewCase&Chat_2,N,Sprint 1/2,Completed
TC_IT_NewCase&Chat_3,N,Sprint 1/2,Completed
TC_HelpDeskOption_SearchResult_1,N,Sprint 2,Completed
TC_HelpDeskOption_SearchResult_2,N,Sprint 2,Completed
TC_FinanceServiceAssist,N,Sprint 2,Completed
TC_ProcureToPayHelp,N,Sprint 2,Completed
TC_Travel_Help,N,Sprint 2,Completed
TC_Workplace_Help,N,Sprint 2,Completed
TC_HR_Help_Search_1,N,Sprint 2,Completed
TC_HR_Help_Search_2,N,Sprint 2,Completed
TC_IT_Help_Search,N,Sprint 2,Completed
TC_Workplace_Help_Search,N,Sprint 2,Completed
TC_ArticleEditAccess_Search,N,Sprint 2,Completed
TC_RelatedArticles,N,Sprint 2,Completed
TC_CreateArticle_Save_Submit_Approve_Publish_1,N,Sprint 2,
TC_CreateArticle_Save_Submit_Approve_Publish_2,N,Sprint 2,
TC_CreateArticle_Save_Submit_Approve_Publish_3,N,Sprint 2,
TC_CreateArticle_Save_Publish,N,Sprint 2,
TC_CreateArticle_Save_Submit_Reject_1,N,Sprint 2,Completed
TC_CreateArticle_Save_Submit_Reject_2,N,Sprint 2,Completed
TC_ArticleDeleteAndArchiveValidation,N,Sprint 3,
TC_ArticleLastModifiedDate,N,Sprint 2,Completed
TC_ShareCommentonArticle,N,Sprint 2,Completed
TC_ValidateArticleEditable_1,N,Sprint 2,Completed
TC_ValidateArticleEditable_2,N,Sprint 2,Completed
TC_FeedbackOnArticle,N,Sprint 2,Completed
TC_VerifyFooter,N,Sprint 2,Completed
TC_RunReports,N,Sprint 3,Completed
TC_ArticlesAndDiscussions_1,N,Sprint 3,Completed
TC_ArticlesAndDiscussions_2,N,Sprint 3,Completed
TC_FeedbackOnCokeHelp,N,Sprint 3,Completed
TC_ExistingArticleCheck,N,Sprint 2,Completed
TC_AddNotesToArticle,N,Sprint 2,NA
TC_BookmarkArticle,Y,,
